Country Athlete Rating
Italy	Roger Federer	1.11666666667
Italy	Wayne Rooney	1.02767857143
Jamaica	Aaron Rodgers	0.4
Jamaica	Conor McGregor	1.00769230769
Jamaica	Derrick Rose	1.0
Jamaica	J.J. Watt	1.4
Jamaica	Kevin Durant	1.8
Jamaica	LeBron James	1.21666666667
Jamaica	Serena Williams	1.0
Jamaica	Usain Bolt	1.35
Jamaica	Wayne Rooney	1.63333333333
Japan	Andy Murray	1.0
Japan	Blake Griffin	1.0
Japan	Cam Newton	1.0
Japan	Conor McGregor	1.11369047619
Japan	Neymar	1.0
Japan	Novak Djokovic	1.0
Japan	Rafael Nadal	0.925
Japan	Roger Federer	1.36041666667
Japan	Russell Westbrook	1.52
Japan	Wayne Rooney	1.0
Kazakhstan	Conor McGregor	0.2
Kenia	Wayne Rooney	1.01282051282
Kenya	Andy Murray	0.783333333333
Kenya	Cam Newton	1.0
Kenya	Carmelo Anthony	1.13636363636
Kenya	Chris Paul	1.0
Kenya	Conor McGregor	1.01666666667
Kenya	James Harden	1.6
Kenya	Lionel Messi	1.0
Kenya	Novak Djokovic	1.35
Kenya	Rafael Nadal	1.0
Kenya	Roger Federer	1.125
Kenya	Tom Brady	1.55
Kenya	Usain Bolt	1.25
Kenya	Virat Kohli	0.85
Kenya	Wayne Rooney	1.13802132827
Kingdom of Saudi Arabia	Conor McGregor	0.909375
Kingdom of Saudi Arabia	Cristiano Ronaldo	1.0
Kingdom of Saudi Arabia	Russell Westbrook	0.6
Kingdom of Saudi Arabia	Wayne Rooney	1.5
Kosovo	Andy Murray	0.4
Kosovo	Conor McGregor	1.0
Kroatie	Conor McGregor	1.0
Kuwait	Conor McGregor	1.12
Kuwait	Roger Federer	1.05
Kuwait	Rory McIlroy	1.0
Kuwait	Tom Brady	1.0
Kuwait	Wayne Rooney	1.0
Latvia	Serena Williams	1.56666666667
Lebanon	Andy Murray	1.25
Lebanon	Conor McGregor	0.833333333333
Lebanon	Cristiano Ronaldo	1.26666666667
Lebanon	Damian Lillard	1.0
Lebanon	James Harden	1.0
Lebanon	Roger Federer	1.0
Lebanon	Wayne Rooney	1.2
Libya	Roger Federer	1.0
Luxembourg	Dwight Howard	2.0
Luxemburg	Roger Federer	1.52083333333
Magyarorszag	Andy Murray	1.0
Magyarorszag	Conor McGregor	1.25
Malasia	Conor McGregor	1.0
Malasia	Roger Federer	1.14772727273
Malasia	Wayne Rooney	1.04545454545
Malawi	Conor McGregor	0.7375
Malawi	James Harden	1.0
Malawi	Rafael Nadal	1.0
Malawi	Roger Federer	1.66666666667
Malawi	Serena Williams	1.3125
Malawi	Wayne Rooney	1.63333333333
Malaysia	Aaron Rodgers	1.12083333333
Malaysia	Andy Murray	1.17333333333
Malaysia	Cam Newton	1.11666666667
Malaysia	Carmelo Anthony	1.2
Malaysia	Chris Paul	1.0375
Malaysia	Conor McGregor	1.04872497294
Malaysia	Cristiano Ronaldo	1.22083333333
Malaysia	Dani Alves	1.06666666667
Malaysia	David Luiz	2.0
Malaysia	Derrick Rose	1.48333333333
Malaysia	Felipe Massa	1.5
Malaysia	James Harden	1.10071428571
Malaysia	Justin Rose	1.0
Malaysia	Kevin Durant	1.175
Malaysia	Kyrie Irving	1.0
Malaysia	Lewis Hamilton	1.58
Malaysia	Lionel Messi	0.1
